id_livro,titulo,autor,isbn,genero,editora,ano
1164,Sombra luz dados tempo,Ana Luiza das Neves,978-2705866867,Poesia,Editora Lima,1972
1165,Tempo silencio,Enrico Barbosa,978-9383378331,Historia,Editora Carvalho,1966
1166,Luz leitura,Emanuel Rocha,978-3990631661,Tecnico,Editora Lima,1962
1167,Luz dados,Arthur Miguel Pires,978-9398671646,Romance,Editora Silva,2017
1168,Dados leitura luz,Miguel Melo,978-9016332698,Biografia,Editora Carvalho,2013
1169,Dados sombra historia memoria,Leandro Costela,978-3248215152,Romance,Editora Carvalho,2011
1170,Luz historia silencio sombra,Aurora Pinto,978-7575486662,Infantil,Editora Almeida,1956
1171,Mundo sombra mar leitura,Luan Costa,978-8571169322,Historia,Editora Oliveira,1964
1172,Dados cidade mundo,Luna Moraes,978-1841662152,Historia,Editora Gomes,1960
1173,Sonho mundo fogo,Juan Albuquerque,978-1076838293,Historia,Editora Carvalho,1969
1174,Dados luz,Stephany Fernandes,978-2679985366,Infantil,Editora Silva,2011
1175,Vento historia,Giovanna Sales,978-9313972765,Infantil,Editora Ribeiro,1991
1176,Cidade fogo mar memoria,Aurora Rodrigues,978-1737805235,Fantasia,Editora Gomes,1979
1177,Leitura luz historia historia,Lucas Gabriel Vasconcelos,978-4548412839,Romance,Editora Carvalho,2008
1178,Vento historia sonho luz,José Guerra,978-2099177502,Romance,Editora Carvalho,1981
1179,Vento silencio tempo cidade,João Gabriel Macedo,978-6874776768,Fantasia,Editora Souza,2014
1180,Sombra sonho tempo luz,Francisco Azevedo,978-7872609079,Infantil,Editora Silva,1957
1181,Silencio vento silencio,Rafaela Viana,978-9514058772,Ficcao Cientifica,Editora Costa,2001
1182,Fogo silencio mar,Ana Laura Cardoso,978-6335130794,Biografia,Editora Almeida,1996
1183,Dados tempo silencio luz,Sr. Yago Viana,978-3337126108,Historia,Editora Almeida,1954
1184,Silencio memoria,Srta. Mariane Silveira,978-9724576380,Historia,Editora Costa,1964
1185,Sonho historia leitura,Sara Vasconcelos,978-3148875795,Fantasia,Editora Costa,1980
1186,Sonho sonho,Beatriz Almeida,978-7101105835,Romance,Editora Silva,1960
1187,Sombra dados leitura,Emilly Ribeiro,978-3908457895,Poesia,Editora Costa,1991
1188,Dados silencio,Anthony Novais,978-9314820755,Romance,Editora Oliveira,1999
1189,Vento fogo,Maria Júlia Oliveira,978-1889347996,Poesia,Editora Pereira,1966
1190,Sombra silencio mundo,Sr. Luiz Otávio Azevedo,978-1992578905,Infantil,Editora Pereira,1956
1191,Historia mundo leitura dados,Larissa Pinto,978-5569014541,Romance,Editora Gomes,1965
1192,Sonho fogo tempo luz,João Felipe Freitas,978-8466678610,Romance,Editora Souza,2023
1193,Dados mar leitura,Sr. Luiz Henrique Correia,978-4048359018,Romance,Editora Almeida,2002
1194,Sonho sonho mundo,Sra. Maria Vitória Albuquerque,978-8033814995,Romance,Editora Lima,1978
1195,Fogo luz leitura,Sr. Calebe Pastor,978-2856277785,Infantil,Editora Pereira,1964
1196,Vento dados,Sr. Henry Silveira,978-8546667091,Infantil,Editora Souza,1956
1197,Sombra luz memoria,Bianca da Costa,978-2818623936,Romance,Editora Carvalho,1971
1198,Luz cidade,Maysa Dias,978-7186043029,Fantasia,Editora Pereira,2024
1199,Luz cidade,Kaique Cirino,978-5661972642,Fantasia,Editora Oliveira,1966
1200,Cidade silencio vento fogo,Luiz Gustavo Pimenta,978-8595364460,Romance,Editora Souza,1990
1201,Cidade mar fogo memoria,Diogo Fogaça,978-4067476034,Infantil,Editora Ribeiro,1981
1202,Cidade leitura,Mateus Nascimento,978-5110715721,Romance,Editora Pereira,1970
1203,Tempo leitura historia tempo,Dr. João Felipe Costa,978-7445676932,Poesia,Editora Pereira,2003
1204,Mundo leitura vento,Danilo Campos,978-5016794678,Infantil,Editora Gomes,1983
1205,Fogo dados,Marcelo Vieira,978-8225823737,Infantil,Editora Almeida,1989
1206,Vento dados mar,Helena Oliveira,978-6806296615,Ficcao Cientifica,Editora Silva,1974
1207,Dados leitura vento,Srta. Ana Laura Vargas,978-7412044851,Tecnico,Editora Souza,2009
1208,Sombra leitura,Sabrina Mendes,978-4765991092,Romance,Editora Oliveira,2007
1209,Mar mundo,Vinícius Vieira,978-4681153378,Ficcao Cientifica,Editora Ribeiro,1961
1210,Historia dados mundo,Luiz Otávio Rezende,978-9438793639,Infantil,Editora Lima,1995
1211,Tempo dados dados,André Lopes,978-9863315055,Romance,Editora Almeida,1987
1212,Sonho sombra,Lorenzo Brito,978-4104395250,Ficcao Cientifica,Editora Gomes,2020
1213,Silencio tempo,Ana Pinto,978-1322640877,Infantil,Editora Pereira,1976
1214,Sonho memoria historia,Luana Souza,978-5819402750,Tecnico,Editora Gomes,1990
1215,Vento sombra sombra,José Fonseca,978-5915563742,Tecnico,Editora Ribeiro,1968
1216,Mundo silencio,Sra. Esther Aragão,978-9858142501,Infantil,Editora Pereira,1966
1217,Leitura sonho leitura sombra,Srta. Ágatha Lopes,978-6419009717,Romance,Editora Ribeiro,2026
1218,Leitura vento memoria,Otávio Duarte,978-1639125425,Fantasia,Editora Lima,2000
1219,Historia leitura silencio,Sra. Aurora Casa Grande,978-8531504554,Fantasia,Editora Pereira,1991
1220,Sonho mundo,Bárbara Cardoso,978-9015246189,Historia,Editora Almeida,1951
1221,Dados sonho luz,Vinícius da Mata,978-2236918956,Romance,Editora Costa,2010
1222,Leitura mundo vento vento,Ryan Gomes,978-3936023315,Poesia,Editora Ribeiro,2026
1223,Dados vento cidade mar,Sabrina da Cruz,978-8513658137,Infantil,Editora Lima,1956
1224,Mar sonho,Dra. Ana Beatriz da Rocha,978-5353768742,Romance,Editora Almeida,1985
1225,Tempo cidade tempo silencio,Alice Machado,978-3140221890,Fantasia,Editora Costa,1997
1226,Silencio vento silencio fogo,Emanuelly das Neves,978-3013470187,Infantil,Editora Carvalho,2011
1227,Leitura vento,Gael Guerra,978-8609673166,Romance,Editora Almeida,1980
1228,Vento sonho,Nathan Abreu,978-8999794949,Romance,Editora Silva,2022
1229,Cidade dados,Sra. Gabriela Araújo,978-4211063357,Historia,Editora Carvalho,2000
1230,Fogo memoria cidade tempo,Luiz Miguel Novaes,978-3767091483,Ficcao Cientifica,Editora Almeida,1971
1231,Dados luz memoria sonho,Mathias Souza,978-2521743233,Historia,Editora Gomes,2023
1232,Mar leitura,Sra. Clarice Rocha,978-7574038517,Infantil,Editora Oliveira,1999
1233,Mar dados sombra,Benjamin Gomes,978-5064440261,Ficcao Cientifica,Editora Carvalho,1972
1234,Leitura sombra vento,Valentim Pires,978-1407374517,Historia,Editora Pereira,1954
1235,Memoria memoria vento silencio,João Pedro Silveira,978-2637367871,Ficcao Cientifica,Editora Ribeiro,1953
1236,Mar memoria memoria vento,Mariana Azevedo,978-5526575034,Infantil,Editora Costa,1961
1237,Historia vento,Samuel da Paz,978-4529088443,Infantil,Editora Carvalho,1992
1238,Historia mar historia sonho,Maria Cecília da Conceição,978-1688013113,Fantasia,Editora Souza,1973
1239,Sombra cidade cidade,Melina Guerra,978-5883392133,Romance,Editora Costa,2016
1240,Sonho sombra leitura,Stephany Peixoto,978-2823721796,Ficcao Cientifica,Editora Souza,1983
1241,Mundo tempo,Maria Sophia da Rosa,978-4397995091,Infantil,Editora Gomes,1974
1242,Mundo luz,Gustavo Henrique da Conceição,978-8089093095,Fantasia,Editora Gomes,1982
1243,Sonho leitura,Enzo Dias,978-1648802897,Historia,Editora Oliveira,1954
1244,Fogo mundo cidade,Samuel Rocha,978-2120574174,Infantil,Editora Ribeiro,2008
1245,Fogo memoria,Dr. Antony Novaes,978-7942571583,Romance,Editora Silva,1992
1246,Historia vento silencio sonho,Antônio Marques,978-2417370883,Poesia,Editora Silva,2023
1247,Luz memoria silencio,Heloisa Rodrigues,978-7646022634,Infantil,Editora Carvalho,1978
1248,Tempo vento sonho,Maria Laura Cavalcante,978-6077230991,Fantasia,Editora Carvalho,1994
1249,Historia mundo mar,João Miguel Campos,978-5722509740,Poesia,Editora Souza,1966
1250,Historia leitura mundo luz,Brayan Pinto,978-1445253903,Ficcao Cientifica,Editora Souza,1980
1251,Mundo dados leitura dados,Bella Siqueira,978-7336897869,Romance,Editora Silva,1972
1252,Sombra fogo tempo,Diogo Dias,978-8784651374,Ficcao Cientifica,Editora Souza,1971
1253,Historia silencio,Thales Viana,978-4132254319,Romance,Editora Oliveira,1954
1254,Cidade sonho mundo mar,Luna Correia,978-8527398522,Tecnico,Editora Gomes,1957
1255,Fogo tempo mundo fogo,Hadassa Silva,978-1450227500,Infantil,Editora Ribeiro,1995
1256,Cidade mar mundo cidade,Isabella Duarte,978-3654162183,Romance,Editora Souza,2004
1257,Mar historia historia sombra,Fernando Vargas,978-3789591102,Historia,Editora Carvalho,2026
1258,Cidade leitura,Pedro Mendes,978-2599344585,Historia,Editora Souza,2007
1259,Tempo tempo memoria fogo,Dra. Daniela Costa,978-4453507427,Historia,Editora Costa,2006
1260,Tempo vento cidade memoria,Caroline Marques,978-4452935685,Historia,Editora Souza,1978
1261,Cidade dados,Bella da Cunha,978-8177506066,Historia,Editora Lima,1971
1262,Silencio luz luz,Maria Julia Vasconcelos,978-2325368433,Infantil,Editora Gomes,1951
1263,Luz mundo,Maria Flor Melo,978-9238683508,Fantasia,Editora Ribeiro,2016
1264,Silencio mundo,Kaique Nunes,978-9234394778,Historia,Editora Souza,1965
1265,Dados vento mar sonho,Isabelly Novaes,978-9557432005,Romance,Editora Oliveira,2018
1266,Cidade cidade fogo,Lorena Novaes,978-4280351998,Poesia,Editora Ribeiro,2012
1267,Luz mundo cidade leitura,Olívia Moreira,978-9556021185,Infantil,Editora Pereira,1962
1268,Silencio sonho mundo,Dra. Sofia Rodrigues,978-5438078924,Biografia,Editora Lima,2002
1269,Vento cidade dados,Rafaela Santos,978-2724812629,Biografia,Editora Costa,1961
1270,Fogo sonho,Thiago Azevedo,978-5238773654,Ficcao Cientifica,Editora Souza,1963
1271,Luz luz memoria mundo,João Felipe Garcia,978-9699721449,Fantasia,Editora Costa,1964
1272,Tempo vento,Dr. Oliver Ribeiro,978-1245123691,Infantil,Editora Carvalho,1959
1273,Dados sonho mundo,Davi Luiz da Mata,978-1907129171,Infantil,Editora Ribeiro,2024
1274,Dados dados,Aylla Cardoso,978-9244369157,Historia,Editora Silva,2011
1275,Sonho leitura,Nicolas Nunes,978-2679992671,Biografia,Editora Gomes,1988
1276,Tempo sombra,Enrico Fonseca,978-7695341005,Tecnico,Editora Costa,1968
1277,Sonho luz dados,Maria Helena Vargas,978-8592518928,Poesia,Editora Oliveira,2023
1278,Fogo dados luz memoria,Aurora Lopes,978-4827276168,Infantil,Editora Gomes,1965
1279,Dados silencio,Liz Albuquerque,978-4127842434,Historia,Editora Gomes,2020
1280,Fogo dados silencio mundo,Ryan da Mata,978-2377917276,Tecnico,Editora Ribeiro,1962
1281,Fogo sonho sonho sonho,Ana Laura Pastor,978-8505279019,Fantasia,Editora Lima,1991
1282,Cidade memoria memoria memoria,Srta. Bruna Santos,978-8426623021,Fantasia,Editora Oliveira,1954
1283,Tempo dados vento,Apollo Rodrigues,978-6694399980,Infantil,Editora Pereira,1951
1284,Sonho historia dados leitura,Rodrigo Sales,978-8427481262,Ficcao Cientifica,Editora Almeida,2026
1285,Fogo vento mundo dados,Heloisa Costa,978-1103236808,Fantasia,Editora Pereira,1960
1286,Silencio dados luz,Bento Lima,978-3314318249,Infantil,Editora Gomes,1952
1287,Leitura silencio tempo sonho,Maysa Santos,978-8667363241,Poesia,Editora Almeida,1989
1288,Tempo dados dados dados,Leandro Lima,978-2261853491,Romance,Editora Lima,1982
1289,Tempo fogo cidade,Sra. Ana Liz Correia,978-4401334161,Fantasia,Editora Ribeiro,2006
1290,Historia luz sombra,Davi Lucca Moraes,978-5376256767,Poesia,Editora Ribeiro,2024
1291,Historia silencio tempo sombra,Antonella Rodrigues,978-2825356621,Fantasia,Editora Lima,1957
1292,Mundo mar,Diego Campos,978-9759683329,Infantil,Editora Almeida,1960
1293,Mar leitura,Thales Siqueira,978-4833049167,Biografia,Editora Lima,1995
1294,Vento vento,Sr. Luiz Felipe Cirino,978-2601445701,Historia,Editora Souza,1997
1295,Luz fogo dados tempo,Dra. Liz Câmara,978-2031928518,Fantasia,Editora Silva,2006
1296,Sonho cidade,Dra. Mariane Correia,978-2102616032,Historia,Editora Pereira,2011
1297,Silencio sonho memoria,Diego Cavalcante,978-8135246268,Tecnico,Editora Souza,1955
1298,Mundo sonho silencio historia,Rodrigo Araújo,978-4009005033,Romance,Editora Gomes,2001
1299,Dados historia luz,Marcela Aragão,978-2613846517,Infantil,Editora Pereira,1987
1300,Sombra fogo sombra,Lívia Marques,978-6509826245,Ficcao Cientifica,Editora Ribeiro,1973
1301,Vento tempo leitura,Dra. Alexia da Mata,978-3328913186,Romance,Editora Souza,1961
1302,Silencio cidade,Júlia Azevedo,978-3717490693,Fantasia,Editora Pereira,2013
1303,Fogo silencio memoria historia,Marcos Vinicius da Mata,978-8374629365,Poesia,Editora Souza,1984
1304,Mar fogo tempo,Vicente Macedo,978-9611264363,Ficcao Cientifica,Editora Lima,1993
1305,Tempo sombra mundo sonho,Milena Aragão,978-3491250409,Ficcao Cientifica,Editora Pereira,2021
1306,Silencio sonho mar cidade,Sr. Diego Leão,978-3405825457,Ficcao Cientifica,Editora Gomes,1981
1307,Sombra vento vento,Maria Isis Leão,978-7345130956,Biografia,Editora Carvalho,2010
1308,Cidade mar,Ana Liz Camargo,978-5489471864,Fantasia,Editora Oliveira,1994
1309,Fogo leitura,Stella Sampaio,978-2952399654,Infantil,Editora Ribeiro,2023
1310,Tempo cidade sombra,Bianca Nogueira,978-8759852036,Infantil,Editora Lima,1957
1311,Fogo leitura fogo leitura,João Felipe Martins,978-3582942995,Tecnico,Editora Oliveira,1998
1312,Historia luz fogo,Cecilia Carvalho,978-3625144338,Romance,Editora Lima,2024
1313,Silencio silencio dados,Caio da Luz,978-6819838846,Ficcao Cientifica,Editora Gomes,1990
1314,Leitura dados vento luz,Anna Liz Caldeira,978-4376851115,Biografia,Editora Carvalho,2003
1315,Dados vento tempo,Dra. Maria Alice Cardoso,978-8970262052,Biografia,Editora Gomes,2011
1316,Tempo dados,Maria Laura Ferreira,978-8934734040,Poesia,Editora Silva,1967
1317,Memoria dados memoria,Guilherme Alves,978-5662409501,Infantil,Editora Pereira,1982
1318,Tempo dados vento silencio,Maysa Machado,978-6672400972,Biografia,Editora Oliveira,1997
1319,Vento mundo cidade,Lorenzo da Paz,978-9188155931,Tecnico,Editora Ribeiro,1984
1320,Luz memoria luz,Renan Souza,978-8106004989,Infantil,Editora Lima,1976
1321,Silencio luz,Dr. Otávio Moreira,978-8257842765,Poesia,Editora Silva,1992
1322,Fogo luz,Cecilia Duarte,978-5088870115,Biografia,Editora Gomes,1970
1323,Memoria cidade historia,Emanuel Martins,978-4327057610,Infantil,Editora Carvalho,1991
1324,Mar mar cidade dados,Raquel Campos,978-9551183873,Biografia,Editora Oliveira,2004
1325,Dados mundo sombra,Lívia Rezende,978-9268349291,Biografia,Editora Ribeiro,1953
1326,Historia sonho cidade sombra,Sr. Pedro Nascimento,978-6610223772,Historia,Editora Carvalho,1986
1327,Memoria luz,Nina Mendonça,978-1198355628,Poesia,Editora Carvalho,2000
1328,Sombra luz,Antony Azevedo,978-6256757273,Infantil,Editora Gomes,2017
1329,Historia tempo cidade,Júlia Nogueira,978-5750967916,Poesia,Editora Carvalho,1958
1330,Leitura sombra mundo vento,Luiz Henrique Lopes,978-2433114147,Biografia,Editora Gomes,1972
1331,Fogo historia luz,Valentim Sales,978-1154941132,Infantil,Editora Souza,1994
1332,Fogo cidade mar,Henry Gabriel Freitas,978-5561162555,Historia,Editora Oliveira,1976
1333,Cidade vento,Maysa Sousa,978-1197916601,Historia,Editora Costa,1977
1334,Tempo silencio memoria fogo,Bruna Barbosa,978-1078953199,Fantasia,Editora Gomes,1988
1335,Historia silencio,Dr. João Miguel Araújo,978-9535070366,Historia,Editora Oliveira,1985
1336,Tempo leitura mar dados,Dr. Heitor das Neves,978-9977713986,Infantil,Editora Carvalho,1995
1337,Fogo leitura leitura vento,Enrico Sales,978-3981846815,Historia,Editora Pereira,2003
1338,Dados mundo leitura,Luiz Henrique Correia,978-5255963783,Historia,Editora Ribeiro,2009
1339,Leitura tempo sombra luz,Maria Júlia Camargo,978-7829528338,Romance,Editora Souza,1968
1340,Sonho mundo,Vitória Campos,978-4549359628,Historia,Editora Silva,1997
1341,Sombra sombra vento sombra,Isadora Campos,978-2090097081,Fantasia,Editora Pereira,1974
1342,Vento mundo memoria cidade,Ian Aragão,978-9579050545,Tecnico,Editora Ribeiro,2014
1343,Sombra mundo cidade,Ana Beatriz Siqueira,978-8385223020,Fantasia,Editora Ribeiro,1991
1344,Memoria mundo,Benicio Guerra,978-7221487493,Biografia,Editora Souza,2008
1345,Mundo silencio leitura sombra,Ana Vitória Novaes,978-5975219350,Romance,Editora Almeida,1995
1346,Historia sombra,Paulo Pereira,978-3604143483,Fantasia,Editora Pereira,2015
1347,Memoria cidade,Davi Lucca da Cunha,978-5911651524,Poesia,Editora Gomes,2012
1348,Mundo memoria mar vento,Natália Vieira,978-8868871032,Tecnico,Editora Souza,1971
1349,Sombra cidade historia mar,Joaquim Teixeira,978-7389162989,Fantasia,Editora Ribeiro,1999
1350,Leitura dados tempo dados,Hadassa Novais,978-7198125557,Ficcao Cientifica,Editora Oliveira,2026
1351,Silencio fogo sonho,Rebeca Sales,978-6930913645,Romance,Editora Pereira,1962
1352,Luz cidade mundo leitura,José Pires,978-1215588463,Romance,Editora Silva,1983
1353,Memoria dados,Arthur Gabriel Viana,978-1296616046,Historia,Editora Pereira,1981
1354,Mundo cidade dados historia,Kaique da Costa,978-7108874722,Infantil,Editora Souza,1987
1355,Sombra mundo sonho luz,José Miguel Abreu,978-2365156051,Romance,Editora Costa,1997
1356,Leitura vento,Sr. João Felipe Oliveira,978-1341278254,Tecnico,Editora Almeida,2015
1357,Luz sombra cidade,Carlos Eduardo da Cruz,978-4622136665,Poesia,Editora Souza,1978
1358,Dados memoria dados,Ana Julia Souza,978-4074455621,Poesia,Editora Gomes,1985
1359,Mundo leitura cidade luz,Ana Sophia Ramos,978-2001660695,Romance,Editora Souza,2006
1360,Cidade mundo,Anna Liz da Conceição,978-7852898072,Biografia,Editora Silva,1960
1361,Leitura vento,Nina Rodrigues,978-6032863194,Romance,Editora Ribeiro,1970
1362,Memoria vento,Clarice da Mota,978-9145208183,Romance,Editora Silva,2003
1363,Mundo mar,Ana Lívia Machado,978-6932500939,Fantasia,Editora Carvalho,2004
1364,Dados historia vento,Fernando Cardoso,978-9375677641,Fantasia,Editora Ribeiro,1955
1365,Silencio cidade leitura,Maria Sophia Dias,978-4665399447,Poesia,Editora Silva,1988
1366,Dados leitura luz,Vitor Fernandes,978-4205591770,Tecnico,Editora Souza,2023
1367,Fogo silencio vento,Benjamim Caldeira,978-2745665902,Biografia,Editora Oliveira,2011
1368,Fogo sonho mundo,Davi Lucas Azevedo,978-8544515955,Poesia,Editora Carvalho,2005
1369,Dados silencio luz,Bruna Vieira,978-9121573997,Infantil,Editora Almeida,2010
1370,Dados silencio tempo,Guilherme da Mata,978-1726455011,Fantasia,Editora Pereira,1957
1371,Fogo tempo vento,Rael Montenegro,978-7443449460,Ficcao Cientifica,Editora Gomes,1993
1372,Leitura memoria mar,João Cavalcanti,978-5979414062,Biografia,Editora Souza,1964
1373,Mar mar silencio,Maria Laura da Cruz,978-4387597312,Infantil,Editora Almeida,2021
1374,Leitura fogo,Samuel Dias,978-6713675882,Tecnico,Editora Silva,2021
1375,Sombra cidade,Esther da Luz,978-9407282624,Tecnico,Editora Pereira,1984
1376,Tempo leitura tempo tempo,Olívia Duarte,978-4206619527,Historia,Editora Pereira,1968
1377,Sombra cidade sonho vento,Sr. Luan Ribeiro,978-9670604014,Historia,Editora Almeida,1955
1378,Luz silencio,Dr. Vitor Hugo Vasconcelos,978-1531970329,Infantil,Editora Ribeiro,2003
1379,Sombra mar,Maya da Cruz,978-9563958420,Romance,Editora Oliveira,1982
1380,Sombra memoria,Isaac Moreira,978-3168569055,Fantasia,Editora Silva,2006
1381,Vento mar leitura,Mariane da Rosa,978-1045568214,Infantil,Editora Souza,1983
1382,Sombra luz,Rafael Ribeiro,978-7772224977,Romance,Editora Costa,2026
1383,Vento sonho cidade sombra,Eduardo Cassiano,978-5498426448,Fantasia,Editora Gomes,1960
1384,Dados dados sonho,Leonardo Borges,978-7418029775,Romance,Editora Gomes,1994
1385,Memoria memoria,Sra. Marcela Costela,978-1025626443,Tecnico,Editora Gomes,2020
1386,Historia mar tempo,Dra. Mariana Mendes,978-9477916031,Infantil,Editora Lima,1963
1387,Vento sombra cidade cidade,Maria Cecília Câmara,978-4432309582,Infantil,Editora Gomes,1966
1388,Leitura fogo memoria historia,Cecilia Campos,978-4262986611,Fantasia,Editora Souza,1983
1389,Dados vento,Diego Mendonça,978-1648733003,Infantil,Editora Gomes,1972
1390,Luz fogo cidade mar,Lucas Gabriel Novaes,978-1953688743,Infantil,Editora Gomes,1985
1391,Dados mar vento fogo,Srta. Ana Liz Macedo,978-1439195248,Ficcao Cientifica,Editora Silva,1994
1392,Fogo sonho tempo sonho,Dra. Ana Liz Cassiano,978-1125656239,Romance,Editora Oliveira,1993
1393,Sonho historia dados,Ryan Freitas,978-3285425214,Infantil,Editora Silva,2021
1394,Dados historia luz cidade,Pietra Pires,978-3787141666,Ficcao Cientifica,Editora Lima,1980
1395,Dados mundo luz,Ravy Ribeiro,978-9276737237,Historia,Editora Carvalho,1963
1396,Leitura sombra cidade,Ana Carolina Cirino,978-9156189060,Ficcao Cientifica,Editora Lima,2002
1397,Fogo sombra,João Mendes,978-9453671309,Historia,Editora Lima,1974
1398,Silencio dados historia,Luiz Miguel Dias,978-8647396964,Fantasia,Editora Lima,2015
1399,Mundo historia sonho,Bruno Rezende,978-9850266387,Romance,Editora Almeida,1985
1400,Dados sonho mar,Yuri Porto,978-4924345366,Infantil,Editora Pereira,1952
1401,Cidade mar sonho cidade,Gustavo da Mota,978-4519212768,Biografia,Editora Ribeiro,2013
1402,Silencio silencio,Melissa Teixeira,978-9112242070,Tecnico,Editora Silva,1956
1403,Dados sombra sombra luz,Heloisa Campos,978-7613875188,Historia,Editora Costa,2022
1404,Dados sonho,Juliana Farias,978-5319946029,Infantil,Editora Costa,1990
1405,Memoria sombra dados memoria,Maysa Duarte,978-5458825883,Fantasia,Editora Costa,2010
1406,Fogo sonho dados,Gabriel Borges,978-6517435134,Infantil,Editora Carvalho,1956
1407,Silencio luz memoria mar,Ana Laura Lima,978-4528037831,Romance,Editora Gomes,1951
1408,Cidade vento,Fernanda Gomes,978-1101364734,Biografia,Editora Lima,1983
1409,Leitura mundo dados,Mariana Almeida,978-4298284258,Fantasia,Editora Silva,1965
1410,Mar luz cidade luz,Maria Júlia Oliveira,978-6578227337,Fantasia,Editora Ribeiro,2015
1411,Mar tempo,Stephany Sousa,978-6067845068,Fantasia,Editora Lima,1970
1412,Historia mar luz sonho,Sra. Carolina Vasconcelos,978-5306429014,Romance,Editora Almeida,1978
1413,Dados luz,Maria Helena da Costa,978-3978423612,Poesia,Editora Almeida,1959
1414,Silencio luz dados,Srta. Yasmin Cavalcante,978-1502796037,Fantasia,Editora Pereira,2009
1415,Leitura sonho,Sr. Arthur Miguel Almeida,978-7486022363,Ficcao Cientifica,Editora Almeida,1951
1416,Luz leitura mundo silencio,Dr. Henry Azevedo,978-3970516950,Tecnico,Editora Pereira,1961
1417,Dados luz memoria leitura,Melina Sales,978-8824220034,Romance,Editora Silva,1950
1418,Tempo vento dados,João Felipe Aragão,978-9493448315,Ficcao Cientifica,Editora Almeida,1958
1419,Sombra fogo fogo,Diego Cavalcante,978-1914145083,Biografia,Editora Oliveira,2010
1420,Memoria fogo historia,José Aragão,978-6434114540,Fantasia,Editora Gomes,1975
1421,Fogo historia,Maya Lopes,978-8191429724,Romance,Editora Costa,1956
1422,Dados luz sombra,Sra. Alícia Vasconcelos,978-6148355116,Biografia,Editora Gomes,1960
1423,Tempo silencio,Isis Aparecida,978-1528702999,Infantil,Editora Carvalho,1988
1424,Leitura historia vento luz,Julia Gomes,978-4496539342,Historia,Editora Lima,1999
1425,Tempo silencio mundo sombra,Ravi Lucca Moura,978-2277668472,Poesia,Editora Almeida,1974
1426,Vento tempo,Mariana Jesus,978-9455624562,Ficcao Cientifica,Editora Carvalho,1985
1427,Sombra mar sonho,Valentim Albuquerque,978-5798941961,Romance,Editora Ribeiro,2024
1428,Leitura tempo sombra,Gustavo Costa,978-4011804371,Biografia,Editora Souza,2018
1429,Fogo mar fogo,Gael Vargas,978-1980390738,Poesia,Editora Silva,1966
1430,Dados tempo,Maria Eduarda Moura,978-4542022738,Fantasia,Editora Costa,2016
1431,Vento sonho mundo leitura,Sra. Sofia Aragão,978-2660370935,Biografia,Editora Almeida,1953
1432,Memoria memoria vento historia,Milena Gomes,978-3128840130,Fantasia,Editora Silva,1989
1433,Sonho silencio,Maysa Rios,978-6925054827,Historia,Editora Gomes,1955
1434,Vento historia sombra,Sr. Daniel Costela,978-9773863901,Romance,Editora Almeida,2011
1435,Mar fogo sombra sombra,Ayla Casa Grande,978-6164858171,Infantil,Editora Almeida,1976
1436,Mundo mar dados,Rebeca Moraes,978-1632364909,Romance,Editora Silva,2022
1437,Dados leitura fogo,Dr. Eduardo Oliveira,978-6023933885,Infantil,Editora Silva,2009
1438,Leitura mar memoria,Julia Moura,978-9255751611,Romance,Editora Silva,2022
1439,Vento vento sonho vento,Helena Pastor,978-6102944734,Infantil,Editora Oliveira,2014
1440,Vento leitura sombra mar,Sofia Vieira,978-2663042309,Romance,Editora Lima,2014
1441,Mar leitura historia cidade,Dra. Maria Luísa Campos,978-3525412668,Fantasia,Editora Oliveira,1997
1442,Mar vento,Srta. Gabrielly Pastor,978-6438542088,Fantasia,Editora Silva,2004
1443,Sonho leitura vento cidade,Dr. João Gabriel da Conceição,978-3563162535,Romance,Editora Pereira,1962
1444,Fogo fogo sonho cidade,Benjamin Duarte,978-2902093932,Fantasia,Editora Silva,2021
1445,Mar mundo,Bruno Guerra,978-4113338227,Historia,Editora Almeida,1983
1446,Mar cidade mar,Ester Duarte,978-3463228718,Poesia,Editora Pereira,2018
1447,Mundo tempo,Sr. Théo Barbosa,978-8713400083,Historia,Editora Gomes,1967
1448,Dados historia leitura,Sofia Guerra,978-1930081099,Ficcao Cientifica,Editora Ribeiro,1953
1449,Memoria sombra memoria,Raquel Mendes,978-8417966772,Fantasia,Editora Almeida,2023
1450,Vento vento tempo,Clarice Sá,978-9694287528,Infantil,Editora Ribeiro,1951
1451,Mundo cidade mar historia,Yasmin Marques,978-6330959387,Romance,Editora Lima,2017
1452,Cidade dados tempo leitura,Pedro Alves,978-9395294304,Infantil,Editora Souza,1980
1453,Memoria cidade mundo memoria,Sr. Breno Abreu,978-5629230107,Biografia,Editora Souza,2011
1454,Luz sombra historia tempo,Gabriela Fogaça,978-7881778087,Poesia,Editora Pereira,1981
1455,Silencio leitura,Luiz Henrique Novais,978-3339111929,Infantil,Editora Silva,1995
1456,Silencio fogo cidade sombra,Luan Carvalho,978-2867023987,Romance,Editora Pereira,1951
1457,Mar tempo memoria,Sr. Benjamim Alves,978-9226994601,Fantasia,Editora Silva,1964
1458,Cidade cidade tempo,Marina Correia,978-2658695087,Romance,Editora Carvalho,2012
1459,Vento luz silencio sombra,Vinicius Aparecida,978-5832761917,Tecnico,Editora Pereira,1969
1460,Luz mar sonho,Vitor Silveira,978-7107060632,Infantil,Editora Carvalho,1972
